"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID","Chr","MapInfo","Symbol","Distance_to_TSS","CPG_ISLAND"
"cg03636183",-0.0683540650701693,0.856401882566992,-4.77262773153848,3.84113623122715e-06,0.0878023156874335,2.34733510395068,"cg03636183","19",16861585,"F2RL3",759,TRUE
"cg21526212",-0.00700077409931248,0.0543329873683817,-4.64711543812743,6.63009255360821e-06,0.0878023156874335,1.82041311142068,"cg21526212","9",97311452,"PTCH",800,TRUE
"cg25044651",0.0324628539435766,0.159736712831666,4.33181720008755,2.49565624382815e-05,0.210991557947864,0.545595731975197,"cg25044651","5",115326619,"FLJ90650",449,TRUE
"cg04280480",-0.00567333998885437,0.0393897981911794,-4.27189150391234,3.18646164687553e-05,0.210991557947864,0.311410445903309,"cg04280480","22",44925781,"PPARA",618,TRUE
"cg18741908",0.0194921064049852,0.161286771678696,4.20862717317005,4.11323267053396e-05,0.217886161023525,0.0670487875735581,"cg18741908","3",171239512,"GPR160",115,TRUE
"cg02001410",0.00991781520755771,0.0729142163987944,4.12971419128264,5.63372873616723e-05,0.236389549180975,-0.233583806793288,"cg02001410","5",71438801,"MAP1B",90,TRUE
"cg27248887",-0.0298848545091332,0.415067592789879,-4.08069330209098,6.83454013858044e-05,0.236389549180975,-0.417983853659686,"cg27248887","2",206733662,"NDUFS1",1230,FALSE
"cg05501276",-0.00620960513811328,0.0377331618159052,-4.06953834186046,7.14006038453448e-05,0.236389549180975,-0.459691518792355,"cg05501276","7",23538039,"TRA2A",85,TRUE
"cg26099316",-0.0140026086086427,0.825224676184745,-4.03386112554049,8.2071177451401e-05,0.241526356219756,-0.592452439100988,"cg26099316","3",52803834,"ITIH3",20,FALSE
"cg00230368",-0.00689991509822848,0.0683019197080521,-3.96614610758317,0.000106640280705471,0.282447447476509,-0.841761540774878,"cg00230368","6",160309823,"IGF2R",298,TRUE
"cg03973663",0.0173944789656312,0.179658318981855,3.93053948814568,0.000122223721638616,0.294245755000607,-0.97144411090319,"cg03973663","8",56954130,"LYN",796,TRUE
"cg17740645",0.0319013182444343,0.35893824862279,3.90774130230206,0.000133313790682144,0.294245755000607,-1.05396335330269,"cg17740645","17",35147939,"GRB7",226,FALSE
"cg09985279",0.0152339922042563,0.112786037422189,3.85080917195832,0.000165333490072984,0.316836043982973,-1.25827158307298,"cg09985279","16",55259635,"MT1G",157,TRUE
"cg19081759",-0.00599358664369296,0.0334679558196835,-3.84738801353454,0.000167473556435914,0.316836043982973,-1.27046846842756,"cg19081759","2",9688540,"YWHAQ",17,TRUE
"cg02757432",0.0409003827826272,0.266817655771328,3.82799429384135,0.000180110529033624,0.31802716479897,-1.33943681759981,"cg02757432","10",125416038,"GPR26",177,TRUE
"cg07285276",-0.0145673490983069,0.820479734331436,-3.77458720156501,0.000219749735663822,0.320274537461048,-1.52784039010867,"cg07285276","9",133602836,"RAPGEF1",90,TRUE
"cg14913925",0.0123958594480092,0.107949053147191,3.7616235116267,0.000230548348162328,0.320274537461048,-1.57323378702446,"cg14913925","7",98987175,"DKFZp727G131",295,TRUE
"cg11700584",-0.0279195202105567,0.294576040578439,-3.74888961214198,0.000241643177786573,0.320274537461048,-1.61769339691278,"cg11700584","14",49158294,"RPL36AL",1195,TRUE
"cg24705286",-0.00686550463342555,0.0354199876648774,-3.69993429513936,0.000289181510800406,0.320274537461048,-1.78742204545115,"cg24705286","16",27122807,"JMJD5",490,TRUE
"cg22670349",-0.0040146168691429,0.0458561917530994,-3.69675814948772,0.000292552908629654,0.320274537461048,-1.79836804026491,"cg22670349","2",208284442,"FLJ40432",67,TRUE
"cg18735146",0.0364046264927663,0.627097915252426,3.689934627709,0.000299921905911804,0.320274537461048,-1.82185688069531,"cg18735146","13",20038606,"TTC10",602,TRUE
"cg14667273",0.0106936615265873,0.0891691194929807,3.67842784002357,0.000312747143017778,0.320274537461048,-1.8613830616833,"cg14667273","1",1359797,"VWA1",975,TRUE
"cg10300154",-0.01388013598172,0.761626476291342,-3.6750086522213,0.00031665681003852,0.320274537461048,-1.87310773143966,"cg10300154","5",7923577,"MGC5297",1462,FALSE
"cg08241785",0.0177607873572689,0.214059222261266,3.66509756893107,0.000328252016165521,0.320274537461048,-1.90704089948906,"cg08241785","5",75955037,"F2RL2",41,FALSE
"cg05301102",-0.0167434013195091,0.118106520867189,-3.64907066418566,0.000347854125456867,0.320274537461048,-1.96174704520892,"cg05301102","1",179258740,"STX6",71,TRUE
"cg03218374",-0.0222780690552027,0.266874411751094,-3.64754160809807,0.000349780907481562,0.320274537461048,-1.9669555768941,"cg03218374","20",844981,"ANGPT4",21,FALSE
"cg13843613",0.0122489484143828,0.0822440164761228,3.63851272456863,0.000361365144768105,0.320274537461048,-1.99767312047527,"cg13843613","1",175406749,"FAM5B",507,TRUE
"cg13099330",0.0213978320488563,0.175700256610723,3.63309806322115,0.000368484839565935,0.320274537461048,-2.01606322341004,"cg13099330","3",140740489,"RBP1",691,TRUE
"cg23628240",0.00376352272510359,0.0417745072236256,3.62746509748443,0.000376031838698643,0.320274537461048,-2.03516980376832,"cg23628240","10",98581592,"MLR2",1135,TRUE
"cg18042806",-0.022257809439138,0.344159110018471,-3.6217212054709,0.000383877363548147,0.320274537461048,-2.05462640786954,"cg18042806","5",177592577,"MGC15875",180,TRUE
"cg13265003",0.0287171958621287,0.47993111150865,3.6119527092075,0.000397575488324483,0.320274537461048,-2.08765490149929,"cg13265003","21",42792092,"SLC37A1",719,FALSE
"cg03224418",-0.0273827132793259,0.335843416791844,-3.61145332073673,0.000398287999404264,0.320274537461048,-2.08934133436096,"cg03224418","20",62082302,"SAMD10",866,FALSE
"cg13633560",-0.0253106135301411,0.254070366825581,-3.6078311484626,0.000403492126318881,0.320274537461048,-2.1015673907869,"cg13633560","11",76058569,"LRRC32",26,FALSE
"cg26667975",0.00742002190919433,0.0510870933007268,3.60133463341305,0.000412986812714732,0.320274537461048,-2.12346887402506,"cg26667975","19",1189229,"C19orf26",388,TRUE
"cg02833725",-0.0208624027116076,0.700843740085965,-3.59448341537569,0.000423227698072064,0.320274537461048,-2.14652933149179,"cg02833725","1",154963392,"ISG20L2",937,FALSE
"cg08803129",-0.00385700347595786,0.0416325635113815,-3.58403767354618,0.000439302902554375,0.323204907695977,-2.18161574070814,"cg08803129","18",31962918,"SLC39A6",285,TRUE
"cg21306218",0.00418429606599928,0.045796244736155,3.56906639353694,0.000463347511675926,0.331681680925637,-2.23174949219214,"cg21306218","16",88314979,"ZNF276",45,TRUE
"cg01125463",-0.0293753231039615,0.28891323096174,-3.55186796958767,0.000492496233662825,0.337654264649938,-2.28911751495612,"cg01125463","6",43054156,"PEX6",710,FALSE
"cg12063359",-0.00346002010455674,0.0305725108857876,-3.54470172503051,0.000505143826098821,0.337654264649938,-2.3129509382353,"cg12063359","20",42808046,"KCNK15",144,TRUE
"cg21759080",-0.00778725871350739,0.0471112864202426,-3.53926080066623,0.000514949723234499,0.337654264649938,-2.33101849990483,"cg21759080","11",62356338,"STX5A",222,TRUE
"cg10409680",0.0504372478088628,0.119392552346408,3.53503728833563,0.000522684620201143,0.337654264649938,-2.34502686805488,"cg10409680","6",31347299,"HLA-C",535,TRUE
"cg09819495",0.00546517260740328,0.0642751885269209,3.51205655051988,0.000566720728745103,0.345781277438932,-2.42099445701356,"cg09819495","1",202097308,"SNRPE",55,TRUE
"cg02822723",-0.00548276121776649,0.0604181934098204,-3.50642577624392,0.00057803000158882,0.345781277438932,-2.43954261850513,"cg02822723","5",946431,"TRIP13",427,TRUE
"cg01134491",-0.00675181766564265,0.0469995014398697,-3.49225581501638,0.000607434868249349,0.345781277438932,-2.48610513711322,"cg01134491","1",11788376,"MTHFR",NA,TRUE
"cg06816161",-0.00726917105146621,0.0480234947408108,-3.48434713909813,0.000624451358539838,0.345781277438932,-2.51202183846329,"cg06816161","7",148212840,"EZH2",493,TRUE
"cg17676574",-0.0190806034135689,0.793404166892056,-3.48227844361541,0.000628975658395835,0.345781277438932,-2.5187925189401,"cg17676574","3",127720063,"UROC1",779,FALSE
"cg12671744",0.0505433730466823,0.569870834800614,3.46574062701182,0.000666265991070498,0.345781277438932,-2.57279375272129,"cg12671744","1",46632361,"FAAH",214,TRUE
"cg20557202",0.0106102126804393,0.0630404158999156,3.45945174653167,0.000680983025275201,0.345781277438932,-2.59327022033198,"cg20557202","19",17843930,"SLC5A5",148,TRUE
"cg17886959",-0.026958817692544,0.513667580925271,-3.45495451131338,0.000691693629819314,0.345781277438932,-2.60789326136297,"cg17886959","16",55199525,"MT2A",487,TRUE
"cg12629515",-0.026613723371,0.646477947159857,-3.45291461519822,0.000696603723118555,0.345781277438932,-2.61452064692477,"cg12629515","6",27967790,"HIST1H2BO",1392,TRUE
"cg04597449",0.0191387581487518,0.154799681209695,3.44629089532769,0.000712773444113173,0.345781277438932,-2.63601681799675,"cg04597449","5",94981331,"GPR150",405,TRUE
"cg24946408",-0.00572770183927495,0.052067461236636,-3.43609683691893,0.000738347726187126,0.345781277438932,-2.66902958830847,"cg24946408","19",54067532,"PPP1R15A",42,TRUE
"cg08118311",0.0231581480921885,0.0954976201387859,3.43183726096562,0.000749286475253257,0.345781277438932,-2.68279865879227,"cg08118311","18",74841389,"SALL3",126,TRUE
"cg09626984",0.028997706245027,0.20961369493235,3.43181355641893,0.000749347771950994,0.345781277438932,-2.68287524197804,"cg09626984","8",11603505,"GATA4",NA,TRUE
"cg18959422",-0.0281936985315159,0.561181597792677,-3.42573139998275,0.000765231540170499,0.345781277438932,-2.70250983454618,"cg18959422","1",201411987,"MYBPH",422,FALSE
"cg21428681",0.0133978762715852,0.107936200557125,3.41336001261445,0.000798517558766817,0.345781277438932,-2.74235360867192,"cg21428681","8",23596801,"NKX3-1",406,FALSE
"cg13672342",-0.0155066845680259,0.253094761017307,-3.41146356213927,0.000803738315052334,0.345781277438932,-2.74845025382275,"cg13672342","2",96294273,"WDR39",1338,FALSE
"cg12825252",-0.00310121305692082,0.035296199506615,-3.40481734958049,0.000822287993256476,0.345781277438932,-2.76979288565173,"cg12825252","2",74563735,"FLJ14397",104,TRUE
"cg20775254",-0.0166485287920542,0.800130184071838,-3.40375125951152,0.000825300490581786,0.345781277438932,-2.77321297620904,"cg20775254","2",95304432,"PROM2",504,FALSE
"cg17965019",-0.00571823688096893,0.0650580586862459,-3.3998029681148,0.000836547531186645,0.345781277438932,-2.78587120522645,"cg17965019","6",27966524,"HIST1H3J",25,TRUE
"cg03848145",-0.00824771141216348,0.0852173740255321,-3.39493674788542,0.00085060665760092,0.345781277438932,-2.8014546248555,"cg03848145","1",85497290,"C1orf52",623,TRUE
"cg12644353",-0.00891548757533806,0.108167032914972,-3.39257735162589,0.00085750252995494,0.345781277438932,-2.80900324161952,"cg12644353","2",114364257,"ACTR3",250,TRUE
"cg14859460",0.0198527105873403,0.140247639838445,3.39050357612205,0.000863606753860339,0.345781277438932,-2.81563425296682,"cg14859460","5",178354850,"GRM6",120,TRUE
